file_path,label
voice_dataset\LibriSeVoc\gt\1034_121119_000002_000001.wav,1
voice_dataset\LibriSeVoc\gt\1034_121119_000010_000004.wav,1
voice_dataset\LibriSeVoc\gt\1034_121119_000010_000006.wav,1
voice_dataset\LibriSeVoc\gt\1034_121119_000028_000001.wav,1
voice_dataset\LibriSeVoc\gt\1034_121119_000040_000001.wav,1
voice_dataset\LibriSeVoc\gt\1034_121119_000052_000002.wav,1
voice_dataset\LibriSeVoc\gt\1034_121119_000065_000003.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000004_000002.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000014_000003.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000017_000000.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000021_000000.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000025_000007.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000034_000005.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000042_000001.wav,1
voice_dataset\LibriSeVoc\gt\103_1241_000054_000007.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000033_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000052_000001.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000055_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000056_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000064_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000065_000001.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000069_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000071_000001.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000071_000002.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000072_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000072_000001.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000075_000002.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000076_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000076_000001.wav,1
